직업,연소득,신용점수,DTI,근속연도,담보가치,승인여부
대기업,9108,925,22,8,36600,승인
기타,3149,550,40,10,27400,승인
중소기업,4588,960,28,9,16500,거부
대기업,7241,916,47,8,26300,승인
기타,2650,928,31,7,15000,거부
중소기업,5733,774,46,3,18100,거부
대기업,11049,708,11,14,30700,승인
중소기업,4478,966,43,6,15600,거부
대기업,5470,600,21,12,18600,거부
대기업,9380,909,36,6,29000,승인
대기업,11609,77,48,9,31800,거부
대기업,6912,894,24,8,17600,거부
중소기업,9972,668,55,4,26800,승인
기타,4358,971,27,2,18900,거부
대기업,5357,697,21,5,22600,승인
중소기업,4261,874,24,5,15400,거부
대기업,13363,767,46,8,31500,승인
대기업,7590,994,49,12,26400,승인
중소기업,6948,811,50,6,18500,거부
기타,2677,960,53,11,15000,거부
기타,2441,650,8,5,15000,거부
중소기업,7584,820,46,7,29200,승인
기타,6467,630,0,13,16300,거부
중소기업,3505,809,34,7,15000,거부
중소기업,3495,788,41,4,15000,거부
중소기업,9306,742,25,3,33200,승인
기타,7750,920,33,4,29400,승인
대기업,5686,962,29,3,16600,거부
중소기업,3512,920,24,12,21700,거부
중소기업,4336,765,35,2,19400,거부
대기업,9225,920,38,6,30400,승인
전문직,12491,712,10,5,37500,승인
기타,4571,609,93,8,17800,거부
기타,11163,763,8,2,50900,승인
대기업,8941,286,31,4,22600,거부
기타,6547,669,96,8,23500,거부
중소기업,5985,744,20,11,18100,거부
기타,4121,769,28,30,33200,승인
대기업,6561,858,31,2,19700,거부
대기업,13117,969,22,22,33800,승인
중소기업,6244,762,21,11,15600,거부
기타,11901,937,16,4,34600,승인
중소기업,8505,950,39,12,31100,승인
중소기업,4751,601,13,13,15600,거부
전문직,13693,960,34,12,39400,승인
대기업,10577,985,0,1,75100,승인
대기업,13990,612,25,2,41800,승인
대기업,5611,852,6,25,19500,거부
기타,3308,741,46,4,18900,거부
전문직,18461,568,32,10,83600,승인
대기업,6437,747,27,2,27900,승인
중소기업,10584,755,56,6,31300,승인
기타,3280,908,22,5,15000,거부
기타,5507,860,62,29,15100,거부
대기업,11732,943,69,10,55200,거부
대기업,9136,917,6,11,24300,승인
중소기업,5489,723,31,10,15800,거부
중소기업,4459,758,43,16,19600,거부
기타,3836,287,37,9,17400,거부
중소기업,4104,770,28,7,39700,승인
중소기업,3602,734,44,5,19800,거부
중소기업,5397,734,41,14,16300,거부
기타,3284,738,43,11,20600,거부
중소기업,3087,754,17,13,15000,거부
중소기업,10675,886,26,4,35300,승인
대기업,9885,829,47,6,34300,승인
기타,5834,851,0,8,22100,승인
중소기업,9770,796,20,30,39300,승인
중소기업,10703,865,31,7,30400,승인
중소기업,3456,987,2,7,17200,거부
중소기업,4692,743,59,3,19200,거부
중소기업,3485,793,1,2,15000,거부
대기업,7909,660,39,9,38500,승인
대기업,11923,917,41,2,74200,승인
대기업,8766,978,38,16,35300,승인
중소기업,4803,739,60,4,29900,거부
기타,3490,101,24,7,15000,거부
중소기업,10079,873,32,2,35900,승인
기타,2096,951,0,8,15000,거부
대기업,8189,860,40,3,37700,승인
중소기업,5845,834,13,4,16100,거부
대기업,9761,915,44,29,24500,승인
중소기업,4369,820,56,2,18900,거부
대기업,7349,831,20,2,26400,승인
전문직,9267,945,49,12,51900,승인
중소기업,4477,979,14,15,18500,거부
기타,5585,195,29,6,17700,거부
중소기업,3125,802,30,5,15000,거부
기타,2160,998,34,15,16900,거부
중소기업,3538,942,35,12,15000,거부
대기업,11181,979,65,3,44700,거부
대기업,7951,953,23,2,28500,승인
대기업,13128,673,41,4,36300,승인
중소기업,8079,250,4,11,22100,거부
중소기업,5969,998,36,6,17600,거부
전문직,9035,739,39,12,22900,승인
중소기업,4437,854,90,6,17900,거부
대기업,10334,758,24,14,38800,승인
기타,7199,873,23,3,29200,승인
기타,2220,987,40,1,15000,거부
대기업,11835,738,40,8,37100,승인
대기업,7211,961,33,5,58000,승인
대기업,8588,850,15,29,23900,승인
중소기업,5601,929,41,5,23900,승인
기타,6441,950,98,27,16400,거부
대기업,9011,761,15,11,32200,승인
대기업,10365,783,50,4,38400,승인
중소기업,10513,958,38,4,31500,승인
중소기업,3748,833,36,5,15000,거부
중소기업,3615,968,39,5,15000,거부
기타,3517,945,28,2,15000,거부
대기업,8695,409,29,4,39400,승인
중소기업,3378,960,36,2,15000,거부
기타,7145,736,33,1,27300,승인
중소기업,8977,764,25,1,26100,승인
중소기업,10902,737,82,7,53000,거부
전문직,19995,440,27,4,86400,승인
대기업,14228,783,37,2,32400,승인
기타,4249,995,30,2,18200,거부
중소기업,3400,743,47,1,15000,거부
기타,3731,741,28,5,15300,거부
중소기업,8860,761,25,10,27800,승인
기타,2993,909,51,12,15000,거부
대기업,7499,925,28,5,22500,승인
기타,5559,949,36,5,15000,거부
전문직,8276,660,74,5,38900,거부
기타,3004,930,50,2,15000,거부
대기업,8611,872,27,8,37800,승인
중소기업,7591,758,29,15,24200,승인
기타,5717,992,58,9,19500,거부
중소기업,3282,921,39,10,19300,거부
기타,4523,905,54,1,17700,거부
중소기업,4672,757,22,11,16100,거부
대기업,13811,965,93,1,59100,거부
대기업,13219,919,35,1,39800,승인
전문직,6196,938,9,1,16900,거부
중소기업,3061,709,31,6,16400,거부
전문직,17490,748,75,18,65300,거부
중소기업,4156,954,41,4,18700,거부
중소기업,9228,830,40,17,37400,승인
대기업,12978,989,40,2,32600,승인
중소기업,3934,734,49,5,15000,거부
중소기업,4031,718,31,4,32800,승인
대기업,8473,946,23,8,23900,승인
전문직,7030,718,27,2,33400,승인
기타,3335,994,55,5,27600,승인
기타,5561,980,49,3,22900,승인
대기업,9553,844,32,6,26200,승인
대기업,7136,726,56,3,46400,승인
기타,2001,718,46,4,19600,거부
중소기업,4735,956,37,1,17300,거부
전문직,13188,984,91,9,38100,거부
중소기업,3953,732,40,1,15000,거부
대기업,14940,784,29,10,50300,승인
전문직,8362,238,36,3,23600,거부
대기업,5226,807,32,6,18800,거부
기타,6783,976,39,5,15300,거부
기타,9747,967,33,9,23000,승인
대기업,8564,944,25,10,24600,승인
전문직,12714,731,31,2,41500,승인
기타,11925,930,37,5,32500,승인
대기업,5502,755,46,7,15100,거부
중소기업,3448,610,25,6,15000,거부
전문직,16274,918,90,10,61900,거부
기타,2092,905,52,10,24000,거부
대기업,6412,901,35,8,23700,승인
기타,4307,685,25,1,29900,승인
기타,3112,962,34,1,15000,거부
대기업,5174,602,27,6,25800,승인
대기업,12348,97,43,2,30400,거부
중소기업,4710,746,30,11,17900,거부
중소기업,4480,981,26,5,18400,거부
중소기업,4680,815,17,4,15600,거부
대기업,6229,746,10,5,19400,거부
대기업,7980,69,58,11,21900,거부
기타,4173,966,37,2,19600,거부
중소기업,5745,879,34,9,26200,승인
대기업,13913,704,26,8,74100,승인
대기업,5448,877,59,1,15100,거부
대기업,5972,992,100,12,15000,거부
대기업,9447,608,23,3,35000,승인
중소기업,4433,770,37,12,18500,거부
대기업,7460,338,21,4,52900,승인
중소기업,4024,912,20,2,26900,승인
중소기업,5223,969,49,4,17100,거부
중소기업,3640,993,34,3,15000,거부
대기업,6844,921,41,4,19200,거부
기타,2034,139,10,4,15000,거부
대기업,5379,763,31,5,26800,승인
대기업,7205,938,53,1,32900,승인
대기업,7626,746,7,2,27900,승인
대기업,9703,965,37,10,33000,승인
전문직,17853,751,31,25,89200,승인
중소기업,3208,979,10,3,27400,승인
중소기업,9986,155,31,2,38200,거부
중소기업,3201,584,21,2,15000,거부
전문직,8106,864,57,2,32600,승인
중소기업,4584,770,7,14,19100,거부
중소기업,7051,279,54,2,27200,거부
기타,9055,797,28,5,25600,승인
중소기업,4666,910,33,3,18900,거부
중소기업,3119,703,42,3,15300,거부
중소기업,3840,827,30,3,16200,거부
대기업,8308,982,44,4,22100,승인
중소기업,4659,873,36,6,19400,거부
중소기업,3354,754,57,23,15000,거부
대기업,9487,875,22,4,22900,승인
전문직,15478,126,35,12,75300,거부
전문직,13016,912,42,6,66200,승인
중소기업,3676,923,38,3,16500,거부
전문직,8880,884,34,6,22100,승인
중소기업,10054,972,31,5,39000,승인
중소기업,9759,668,38,4,23600,승인
기타,2910,978,37,5,15000,거부
대기업,6171,942,25,5,18200,거부
대기업,6462,790,47,1,15100,거부
중소기업,4388,736,30,9,23600,승인
기타,8793,980,18,9,28400,승인
중소기업,5226,810,28,10,16300,거부
전문직,13736,724,31,6,38500,승인
대기업,13504,873,44,12,36900,승인
중소기업,5300,232,7,9,19400,거부
중소기업,10409,722,26,5,36300,승인
대기업,13222,667,53,6,38800,승인
기타,11308,907,81,6,39300,거부
중소기업,3380,947,40,5,15000,거부
대기업,7734,692,45,2,28300,승인
기타,11522,434,82,8,33500,거부
중소기업,10925,925,31,6,39100,승인
중소기업,3208,931,22,6,15000,거부
중소기업,6770,790,21,2,17800,거부
중소기업,5370,967,44,15,29100,승인
중소기업,4163,929,84,12,16200,거부
기타,8182,872,26,4,28400,승인
대기업,7485,991,29,2,27800,승인
대기업,6596,638,26,11,19700,거부
중소기업,3332,742,28,3,15000,거부
기타,5645,964,26,14,17600,거부
기타,6955,901,30,2,18600,거부
기타,11055,669,31,12,37600,승인
전문직,18933,271,74,6,55000,거부
대기업,8674,918,50,7,24700,승인
전문직,15209,841,20,3,89800,승인
중소기업,3192,728,21,1,15000,거부
전문직,15920,685,27,7,72900,승인
대기업,8731,858,48,4,28700,승인
대기업,7632,612,21,7,50400,승인
중소기업,4440,707,47,12,16100,거부
중소기업,4340,821,14,14,29300,승인
중소기업,6499,957,22,1,18700,거부
중소기업,4012,714,36,3,29700,승인
중소기업,8125,921,24,11,29900,승인
중소기업,3646,66,23,5,15000,거부
대기업,7728,929,42,10,34900,승인
전문직,12962,893,22,5,32800,승인
전문직,13831,684,41,2,39600,승인
중소기업,4330,669,39,3,19300,거부
기타,3902,965,24,7,19100,거부
대기업,5602,972,3,27,15700,거부
대기업,6173,627,35,2,28700,승인
중소기업,9931,847,34,1,43200,승인
대기업,8144,252,38,5,29300,거부
전문직,18910,310,57,5,58600,승인
대기업,8763,992,22,10,32900,승인
기타,3938,970,51,7,15000,거부
대기업,5607,624,39,12,17800,거부
기타,3238,719,43,4,15900,거부
대기업,9479,953,50,3,23800,승인
중소기업,3462,812,85,3,15000,거부
기타,9989,862,17,1,21900,승인
전문직,8799,989,47,8,28800,승인
대기업,8612,908,37,3,39300,승인
중소기업,3223,102,35,2,15000,거부
전문직,19894,972,48,12,51100,승인
중소기업,8255,712,58,8,22700,승인
중소기업,5016,937,31,7,17000,거부
중소기업,4424,641,23,7,16200,거부
대기업,8520,637,32,4,27200,승인
전문직,12444,289,9,8,37100,거부
중소기업,4715,803,50,5,17400,거부
대기업,8319,740,15,9,21400,승인
중소기업,4277,964,23,9,16300,거부
대기업,11118,914,31,3,47800,승인
대기업,5357,965,20,14,16800,거부
기타,2362,959,59,5,15000,거부
대기업,8886,440,48,13,34100,승인
중소기업,3471,853,43,1,15000,거부
대기업,9545,957,39,13,22700,승인
중소기업,4293,710,90,19,19200,거부
중소기업,3315,838,32,5,24100,승인
대기업,7562,944,6,1,26400,승인
중소기업,3069,963,20,13,24700,승인
대기업,13703,939,29,3,39400,승인
기타,5226,841,43,3,15700,거부
기타,3021,696,40,10,29500,승인
기타,10536,600,35,4,70400,승인
중소기업,4658,950,32,9,16500,거부
중소기업,4951,567,27,15,35500,승인
대기업,11316,788,33,9,34200,승인
중소기업,3595,977,37,2,15000,거부
대기업,9245,906,20,1,23000,승인
대기업,9241,921,32,10,37400,승인
대기업,9138,962,35,11,32900,승인
중소기업,5322,983,51,4,18500,거부
중소기업,4274,747,58,6,32000,승인
중소기업,3324,921,45,12,15000,거부
중소기업,4677,162,53,5,25800,거부
기타,8414,900,21,9,36000,승인
중소기업,10976,24,26,6,35700,거부
중소기업,4376,687,40,3,33300,승인
전문직,14968,722,34,1,74100,승인
대기업,9798,960,29,7,24800,승인
대기업,9190,964,19,9,28200,승인
중소기업,3077,905,24,1,15000,거부
전문직,6318,911,39,9,19600,거부
중소기업,4130,14,42,12,15800,거부
중소기업,3526,895,41,13,19600,거부
대기업,11816,715,51,9,32200,승인
대기업,8596,980,23,2,24900,승인
중소기업,3817,886,58,9,15000,거부
중소기업,4415,974,27,6,16300,거부
기타,5411,508,33,1,18700,거부
중소기업,3501,424,40,7,15000,거부
대기업,13513,802,16,9,73000,승인
중소기업,7676,356,72,12,21000,거부
중소기업,3116,943,30,15,18200,거부
전문직,10122,994,17,3,33000,승인
대기업,8285,712,17,11,22700,승인
기타,5725,908,36,6,26500,승인
중소기업,4579,955,1,3,16900,거부
전문직,17879,706,47,2,61100,승인
전문직,11110,918,48,1,32900,승인
중소기업,5463,982,37,6,16100,거부
중소기업,4450,987,46,9,19100,거부
전문직,16595,878,49,1,86500,승인
대기업,9892,973,37,1,29500,승인
중소기업,3212,871,52,2,15000,거부
중소기업,5665,973,17,10,29200,승인
기타,5683,702,48,11,33300,승인
중소기업,6380,722,20,8,19700,거부
기타,7937,994,57,7,29000,승인
중소기업,7429,722,23,12,25700,승인
기타,3754,662,38,10,15000,거부
대기업,12635,632,31,10,41500,승인
기타,2149,865,29,2,15000,거부
기타,2907,863,33,5,15000,거부
중소기업,4170,796,85,12,18500,거부
기타,4632,745,33,11,16300,거부
중소기업,11498,664,20,4,33700,승인
중소기업,3046,780,51,9,15000,거부
중소기업,6053,928,28,10,18800,거부
대기업,9403,945,56,1,23300,승인
중소기업,3335,749,27,7,15000,거부
대기업,8211,778,51,4,26200,승인
대기업,11311,663,37,6,34700,승인
대기업,8599,906,28,4,23200,승인
기타,3033,838,21,10,15000,거부
중소기업,4203,753,46,6,31400,승인
중소기업,10653,740,32,2,67200,승인
중소기업,8886,959,39,3,21300,승인
중소기업,3365,984,21,9,15000,거부
전문직,10055,968,48,5,40500,승인
중소기업,4394,918,49,3,23300,승인
중소기업,6448,973,20,3,21700,승인
기타,5048,723,33,7,18900,거부
대기업,12716,818,47,15,34100,승인
중소기업,5084,986,32,5,24000,승인
대기업,8675,841,46,11,25200,승인
중소기업,6369,903,46,1,24200,승인
중소기업,11988,951,15,6,47100,승인
대기업,5822,964,4,1,31500,승인
중소기업,4682,867,26,3,20500,거부
중소기업,3206,736,22,1,15000,거부
기타,2286,938,58,1,25200,승인
기타,11382,132,12,7,38200,거부
대기업,8311,956,31,4,38800,승인
대기업,9133,725,57,4,29400,승인
대기업,5605,22,25,6,16800,거부
중소기업,3113,962,28,6,15000,거부
중소기업,3517,872,49,9,15000,거부
전문직,13221,738,22,12,38100,승인
중소기업,3133,874,36,11,19200,거부
대기업,13682,918,55,10,77600,승인
중소기업,4874,828,35,8,19000,거부
기타,5945,600,38,24,30700,승인
기타,2734,728,21,6,15000,거부
대기업,11840,785,46,11,39400,승인
대기업,5919,752,68,3,26600,거부
기타,3382,858,21,2,15000,거부
중소기업,3672,718,5,1,15000,거부
대기업,9107,997,36,10,24600,승인
중소기업,3732,973,27,6,15000,거부
대기업,11083,745,31,13,35900,승인
중소기업,4228,223,27,5,15100,거부
기타,7824,729,5,6,52200,승인
기타,5582,764,31,9,19800,거부
중소기업,4633,924,20,7,18400,거부
중소기업,4939,935,31,7,17300,거부
기타,4877,951,34,6,16100,거부
중소기업,3349,942,22,6,15000,거부
기타,2115,761,11,14,15000,거부
대기업,6077,850,39,6,17700,거부
중소기업,3567,873,22,2,15500,거부
중소기업,4327,792,54,1,21200,거부
중소기업,3940,858,37,9,15000,거부
대기업,14251,716,11,11,58200,승인
중소기업,3895,868,27,11,15000,거부
대기업,13733,886,40,3,50600,승인
중소기업,3514,903,32,3,15000,거부
대기업,5819,975,43,18,15400,거부
기타,2421,786,53,11,23600,거부
기타,11634,601,51,2,37700,승인
중소기업,4564,774,38,7,19100,거부
기타,3404,976,33,3,15000,거부
대기업,9440,905,36,5,27800,승인
대기업,7876,934,4,6,22800,승인
기타,5276,606,25,3,17700,거부
중소기업,6764,909,21,6,21200,승인
중소기업,6436,768,19,12,19700,거부
기타,5917,623,35,4,22000,승인
중소기업,3359,688,18,2,16400,거부
기타,2432,727,33,7,15000,거부
기타,5018,546,44,5,19400,거부
전문직,8225,830,34,4,24000,승인
기타,3333,996,7,12,15000,거부
중소기업,3248,865,57,5,15000,거부
대기업,6503,988,10,2,25000,승인
대기업,5464,938,33,4,18300,거부
기타,2709,789,31,8,15000,거부
전문직,12637,663,26,7,33000,승인
중소기업,6272,884,28,7,15300,거부
대기업,5205,824,4,6,19100,거부
대기업,8474,982,5,5,27400,승인
대기업,6535,817,1,6,15000,거부
중소기업,11349,926,34,2,60000,승인
중소기업,8290,985,32,1,25000,승인
중소기업,4219,729,32,7,18900,거부
기타,9176,931,20,6,28900,승인
중소기업,3009,971,36,3,15000,거부
중소기업,3674,981,32,6,15000,거부
기타,2076,793,48,7,15000,거부
전문직,10644,748,48,4,33900,승인
기타,2306,880,47,1,15000,거부
대기업,8905,634,43,4,43900,승인
기타,2081,606,24,13,15000,거부
중소기업,6096,977,38,2,15100,거부
전문직,19129,950,8,2,65400,승인
대기업,12579,988,4,7,36100,승인
기타,3799,775,36,13,15000,거부
대기업,9125,677,22,4,25600,승인
중소기업,4900,658,1,2,17200,거부
대기업,7065,630,39,2,21000,승인
대기업,8111,738,40,1,20200,승인
대기업,9136,932,21,6,20200,승인
대기업,10684,709,21,5,35000,승인
기타,2517,834,47,7,16100,거부
대기업,12610,718,0,9,34100,승인
전문직,6753,644,26,2,20200,거부
중소기업,4364,858,36,15,36500,승인
전문직,12043,764,93,2,32200,거부
중소기업,7240,965,33,8,24400,승인
중소기업,4260,811,46,3,17500,거부
전문직,9288,955,28,1,52200,승인
중소기업,3797,742,23,7,15000,거부
중소기업,4734,963,41,3,18600,거부
기타,5232,976,37,3,29900,승인
기타,4255,710,40,1,24400,승인
전문직,8361,704,29,13,28500,승인
기타,5276,965,33,12,18900,거부
대기업,7486,704,22,3,26700,승인
중소기업,3938,791,14,11,15000,거부
전문직,18860,902,6,8,53800,승인
대기업,10844,918,64,6,36500,거부
대기업,9048,720,36,6,27900,승인
대기업,8498,987,31,5,20600,승인
전문직,9077,829,47,8,28000,승인
전문직,18444,904,31,6,66500,승인
중소기업,4450,688,36,1,32200,승인
중소기업,10829,936,41,15,66100,승인
중소기업,4269,933,40,15,16800,거부
중소기업,4237,821,45,2,22800,거부
기타,10505,823,59,7,31400,승인
기타,3111,880,29,5,19000,거부
중소기업,3464,917,36,3,15000,거부
기타,3169,982,21,10,19200,거부
중소기업,4410,907,66,8,17700,거부
중소기업,4474,694,35,10,28300,승인
중소기업,6548,918,30,2,29100,승인
대기업,14964,600,29,12,32700,승인
기타,4850,911,31,5,16000,거부
대기업,5265,895,27,11,16200,거부
중소기업,9996,986,23,9,52500,승인
대기업,7608,737,51,12,22700,승인
중소기업,9604,213,38,9,22500,거부
기타,5114,914,40,3,28100,승인
대기업,8610,604,6,11,25200,승인
중소기업,10396,929,42,3,32000,승인
대기업,14468,638,32,8,36000,승인
대기업,6098,931,33,3,17600,거부
전문직,11393,610,18,9,43600,승인
대기업,13920,913,36,12,37200,승인
중소기업,6614,745,3,24,15200,거부
대기업,7301,649,49,3,22600,승인
기타,4466,841,32,11,18900,거부
기타,2062,906,29,9,22300,거부
대기업,13296,4,7,2,49500,거부
대기업,5664,813,44,2,17800,거부
중소기업,5245,948,48,4,19900,거부
대기업,8128,998,22,8,24200,승인
중소기업,5033,802,0,2,15400,거부
중소기업,3806,628,29,8,15000,거부
중소기업,4070,951,47,7,30200,승인
중소기업,3110,980,29,12,15000,거부
대기업,8187,709,26,1,21500,승인
전문직,8473,956,37,13,26200,승인
대기업,13449,678,48,2,51900,승인
중소기업,4518,967,31,16,15700,거부
전문직,16400,853,13,3,63400,승인
대기업,6413,175,46,8,20800,거부
전문직,19169,988,22,1,62900,승인
중소기업,8070,761,80,3,30200,거부
대기업,7792,966,65,8,21400,거부
전문직,9740,938,48,3,20100,승인
기타,2643,974,38,25,15000,거부
전문직,12575,893,3,6,34700,승인
중소기업,4982,919,89,12,28800,거부
대기업,11002,782,10,8,36300,승인
중소기업,7062,222,32,6,25900,거부
중소기업,4833,914,28,3,18600,거부
중소기업,4221,737,38,11,24800,승인
중소기업,10101,910,59,4,38700,승인
기타,9243,971,45,4,25500,승인
중소기업,11964,904,37,1,31100,승인
대기업,7446,956,24,8,29500,승인
기타,4718,609,46,12,16700,거부
중소기업,9776,673,17,6,52700,승인
기타,5188,973,46,11,20400,거부
중소기업,5227,207,47,6,17200,거부
기타,2949,897,19,4,15000,거부
전문직,17415,986,28,9,54600,승인
대기업,5847,850,24,3,17300,거부
중소기업,4305,936,49,9,16400,거부
중소기업,3664,703,20,3,15000,거부
대기업,10263,727,22,3,39200,승인
대기업,14639,292,8,13,33000,거부
전문직,7314,914,20,4,25400,승인
중소기업,3714,718,50,2,15000,거부
대기업,7747,953,21,3,29100,승인
대기업,13024,989,34,10,34100,승인
기타,2772,981,49,3,29400,승인
대기업,7640,978,32,6,29100,승인
기타,2314,348,37,14,15000,거부
대기업,9853,902,23,11,38500,승인
중소기업,11226,956,28,3,41300,승인
중소기업,4385,729,22,2,17700,거부
대기업,5708,870,9,8,17700,거부
대기업,10393,722,26,4,68800,승인
전문직,19924,946,34,7,63500,승인
중소기업,6778,886,27,1,22100,승인
기타,7610,863,54,7,27900,승인
대기업,9946,956,4,4,37100,승인
중소기업,4433,985,26,17,17400,거부
중소기업,4367,793,11,4,24100,승인
중소기업,3546,683,78,1,15000,거부
중소기업,4149,718,43,10,21300,거부
중소기업,4101,864,39,4,15800,거부
전문직,19917,979,19,6,65600,승인
대기업,8261,705,29,3,25600,승인
중소기업,3372,705,26,5,15000,거부
기타,6301,908,45,5,22600,승인
기타,3419,102,27,4,15000,거부
중소기업,4754,118,30,5,18100,거부
대기업,8036,896,42,6,55600,승인
중소기업,3047,919,21,2,15000,거부
기타,4501,698,44,10,16300,거부
중소기업,3769,932,50,12,15000,거부
대기업,5204,957,31,8,23300,승인
대기업,6496,991,41,8,18600,거부
중소기업,4735,626,24,14,27000,승인
중소기업,6933,920,26,6,18500,거부
대기업,8348,733,24,12,26400,승인
대기업,11720,849,84,8,46600,거부
중소기업,3340,932,32,1,15000,거부
대기업,8907,609,27,6,28800,승인
중소기업,5586,728,56,13,15000,거부
대기업,9845,971,26,29,36300,승인
중소기업,10723,962,58,2,35500,승인
기타,5731,826,36,16,16600,거부
중소기업,10925,913,81,14,32100,거부
중소기업,8040,989,47,4,21900,승인
전문직,12851,88,29,11,65700,거부
중소기업,3242,614,86,1,15000,거부
대기업,6594,940,4,4,21300,승인
중소기업,6730,602,58,9,16000,거부
기타,5888,929,32,4,38600,승인
전문직,12920,928,41,9,38000,승인
중소기업,4403,920,31,12,25400,승인
중소기업,4228,982,21,25,18500,거부
전문직,9750,734,23,12,21000,승인
중소기업,8350,930,31,2,42100,승인
중소기업,8449,762,39,4,59400,승인
중소기업,4124,851,0,3,16900,거부
중소기업,4493,922,53,3,27200,승인
대기업,9853,735,22,1,28000,승인
대기업,13530,817,41,2,33100,승인
전문직,19555,739,22,12,55400,승인
중소기업,4712,920,32,10,16400,거부
기타,4427,711,31,7,17700,거부
대기업,8884,782,30,3,32300,승인
대기업,14218,753,23,2,30000,승인
중소기업,3352,916,21,1,23800,거부
대기업,14473,713,53,7,71100,승인
대기업,9221,732,21,11,34100,승인
대기업,13870,926,22,6,31500,승인
기타,2479,978,38,5,19900,거부
중소기업,9417,265,23,9,27400,거부
전문직,13035,629,25,1,34100,승인
대기업,5605,914,56,7,18400,거부
기타,9740,867,2,7,25500,승인
중소기업,4363,959,44,11,18600,거부
중소기업,4388,788,31,6,27300,승인
전문직,13203,765,45,11,38200,승인
중소기업,6719,925,51,13,18200,거부
대기업,12169,946,80,12,36500,거부
대기업,7656,705,36,5,25900,승인
중소기업,4941,904,22,7,17600,거부
중소기업,4489,715,56,10,33300,승인
전문직,17120,925,44,15,75800,승인
중소기업,4545,872,28,9,16400,거부
대기업,10368,998,33,7,39500,승인
기타,2424,618,52,12,15800,거부
기타,2743,936,28,7,15000,거부
전문직,7424,684,36,11,26300,승인
기타,2456,994,57,11,15000,거부
대기업,13290,931,31,4,36000,승인
대기업,8276,766,42,2,29400,승인
중소기업,4404,976,59,12,17300,거부
중소기업,4672,967,39,12,17800,거부
중소기업,4516,892,45,1,16500,거부
전문직,18982,948,31,6,68800,승인
중소기업,4911,771,20,14,20000,거부
중소기업,6024,72,30,5,20800,거부
중소기업,11500,956,43,8,32700,승인
대기업,5029,903,32,5,26800,승인
중소기업,5581,835,3,1,19200,거부
전문직,19981,830,48,5,71600,승인
기타,8621,701,34,8,29600,승인
기타,3968,907,4,2,15000,거부
대기업,7474,937,32,1,31900,승인
기타,3014,980,45,8,18500,거부
대기업,9113,867,20,1,28000,승인
기타,4951,783,25,10,18100,거부
전문직,17668,860,20,8,64600,승인
중소기업,4493,982,29,3,19700,거부
중소기업,9448,901,22,15,27100,승인
중소기업,4133,706,38,2,16900,거부
중소기업,3781,739,49,7,25500,승인
대기업,13798,926,22,1,58800,승인
대기업,9237,909,45,9,36400,승인
대기업,7011,615,40,12,27600,승인
중소기업,3441,742,45,3,15000,거부
기타,3781,934,22,1,16400,거부
대기업,10003,976,24,6,50800,승인
중소기업,3177,347,49,14,15000,거부
대기업,5442,960,8,4,19800,거부
중소기업,4586,966,9,1,18400,거부
중소기업,11897,989,27,2,55700,승인
기타,8156,980,26,2,20400,승인
중소기업,3695,987,32,6,15000,거부
중소기업,3995,707,54,10,17300,거부
기타,2593,798,45,2,19000,거부
대기업,8418,193,43,2,22900,거부
전문직,17580,955,15,2,86300,승인
중소기업,9941,843,55,14,47600,승인
전문직,15241,939,33,6,78600,승인
대기업,9496,979,24,11,27400,승인
중소기업,4277,904,38,3,17500,거부
중소기업,8743,822,21,8,24200,승인
기타,4444,824,20,9,15800,거부
대기업,9305,630,28,12,24900,승인
중소기업,6488,865,29,11,19500,거부
대기업,12465,956,26,10,35900,승인
대기업,11380,968,31,9,78500,승인
전문직,10789,728,23,15,31500,승인
중소기업,3715,981,56,6,15000,거부
기타,5561,800,15,10,26300,승인
중소기업,3598,703,50,6,15000,거부
대기업,10761,941,3,3,33300,승인
중소기업,4650,914,39,3,36100,승인
전문직,17111,634,54,6,95700,승인
중소기업,4020,819,21,11,29400,승인
중소기업,4332,737,53,1,17100,거부
중소기업,6107,175,67,2,19400,거부
전문직,19235,990,35,3,54000,승인
기타,2972,954,11,15,15000,거부
기타,4511,977,64,9,24000,거부
대기업,11348,997,30,8,31800,승인
기타,4539,632,24,9,15400,거부
중소기업,5386,939,49,2,19500,거부
기타,4470,945,0,5,15600,거부
중소기업,7005,857,31,2,48500,승인
기타,9306,779,39,13,29100,승인
기타,4221,892,54,5,18100,거부
대기업,9487,507,24,8,20100,승인
기타,2795,976,27,13,15000,거부
대기업,13462,787,50,11,36300,승인
중소기업,4128,743,32,8,31200,승인
중소기업,9265,749,25,11,26600,승인
대기업,6751,742,30,3,16000,거부
전문직,6940,945,21,8,19600,거부
대기업,9098,853,49,2,48300,승인
기타,5617,961,48,12,19200,거부
중소기업,5044,976,25,6,17700,거부
대기업,9860,923,12,10,25300,승인
기타,4087,134,11,3,16200,거부
기타,3415,697,89,2,18700,거부
기타,2474,878,24,13,15000,거부
대기업,8872,771,32,2,22000,승인
기타,11139,949,40,6,32300,승인
대기업,8321,774,52,1,32800,승인
중소기업,6421,798,48,2,15800,거부
중소기업,3380,735,34,6,15000,거부
대기업,5166,691,19,8,24000,승인
중소기업,3409,934,44,8,18200,거부
대기업,9033,602,50,9,44200,승인
대기업,7874,887,37,14,26600,승인
중소기업,4489,984,29,2,15900,거부
